Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
CLEMENT Stef,NED,IAM CYCLING,1,96,16' 13'',+ 01' 17'',77
YATES Adam,GBR,ORICA GREENEDGE,1,97,16' 14'',+ 01' 18'',78
LANGEVELD Sebastian,NED,TEAM CANNONDALE-GARMIN,1,98,16' 15'',+ 01' 19'',79
BAK Lars,DEN,LOTTO-SOUDAL,1,99,16' 15'',+ 01' 19'',79
DEVOLDER Stijn,BEL,TREK FACTORY RACING,1,100,16' 15'',+ 01' 19'',79
ROCHE Nicolas,IRL,TEAM SKY,1,101,16' 16'',+ 01' 20'',80
WELLENS Tim,BEL,LOTTO-SOUDAL,1,102,16' 17'',+ 01' 21'',81
MEINTJES Louis,RSA,MTN-QHUBEKA,1,103,16' 17'',+ 01' 21'',81
PAUWELS Serge,BEL,MTN-QHUBEKA,1,104,16' 17'',+ 01' 21'',81
FARRAR Tyler,USA,MTN-QHUBEKA,1,105,16' 18'',+ 01' 22'',82
HENDERSON Gregory,NZL,LOTTO-SOUDAL,1,106,16' 18'',+ 01' 22'',82
VACHON Florian,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,107,16' 18'',+ 01' 22'',82
GERRANS Simon,AUS,ORICA GREENEDGE,1,108,16' 18'',+ 01' 22'',82
LOSADA ALGUACIL Alberto,ESP,TEAM KATUSHA,1,109,16' 19'',+ 01' 23'',83
TANKINK Bram,NED,TEAM LOTTO NL - JUMBO,1,110,16' 19'',+ 01' 23'',83
MAJKA Rafal,POL,TINKOFF-SAXO,1,111,16' 19'',+ 01' 23'',83
VOECKLER Thomas,FRA,TEAM EUROPCAR,1,112,16' 20'',+ 01' 24'',84
LADAGNOUS Matthieu,FRA,FDJ,1,113,16' 20'',+ 01' 24'',84
EDET Nicolas,FRA,"COFIDIS, SOLUTIONS CREDITS",1,114,16' 20'',+ 01' 24'',84
SENECHAL Florian,FRA,"COFIDIS, SOLUTIONS CREDITS",1,115,16' 20'',+ 01' 24'',84
WYSS Danilo,SUI,BMC RACING TEAM,1,116,16' 20'',+ 01' 24'',84
GOLAS Michal,POL,ETIXX-QUICK STEP,1,117,16' 20'',+ 01' 24'',84
SCHILLINGER Andreas,GER,BORA-ARGON 18,1,118,16' 21'',+ 01' 25'',85
VOSS Paul,GER,BORA-ARGON 18,1,119,16' 21'',+ 01' 25'',85
LAPORTE Christophe,FRA,"COFIDIS, SOLUTIONS CREDITS",1,120,16' 21'',+ 01' 25'',85
SINKELDAM Ramon,NED,TEAM GIANT-ALPECIN,1,121,16' 21'',+ 01' 25'',85
TRENTIN Matteo,ITA,ETIXX-QUICK STEP,1,122,16' 22'',+ 01' 26'',86
CAVENDISH Mark,GBR,ETIXX-QUICK STEP,1,123,16' 22'',+ 01' 26'',86
DE GENDT Thomas,BEL,LOTTO-SOUDAL,1,124,16' 22'',+ 01' 26'',86
RODRIGUEZ OLIVER Joaquin,ESP,TEAM KATUSHA,1,125,16' 22'',+ 01' 26'',86
FUGLSANG Jakob,DEN,ASTANA PRO TEAM,1,126,16' 22'',+ 01' 26'',86
BARGUIL WARREN,FRA,TEAM GIANT-ALPECIN,1,127,16' 23'',+ 01' 27'',87
GRUZDEV Dmitriy,KAZ,ASTANA PRO TEAM,1,128,16' 23'',+ 01' 27'',87
JANSE VAN RENSBURG Jacques,RSA,MTN-QHUBEKA,1,129,16' 23'',+ 01' 27'',87
GENIEZ Alexandre,FRA,FDJ,1,130,16' 23'',+ 01' 27'',87
SCARPONI Michele,ITA,ASTANA PRO TEAM,1,131,16' 24'',+ 01' 28'',88
RIBLON Christophe,FRA,AG2R LA MONDIALE,1,132,16' 26'',+ 01' 30'',90
VALLS FERRI Rafael,ESP,LAMPRE - MERIDA,1,133,16' 26'',+ 01' 30'',90
PANTANO GOMEZ Jarlinson,COL,IAM CYCLING,1,134,16' 27'',+ 01' 31'',91
FEDRIGO Pierrick,FRA,BRETAGNE - SECHE ENVIRONNEMENT,1,135,16' 27'',+ 01' 31'',91
NAVARRO GARCIA Daniel,ESP,"COFIDIS, SOLUTIONS CREDITS",1,136,16' 27'',+ 01' 31'',91
RAST Gregory,SUI,TREK FACTORY RACING,1,137,16' 27'',+ 01' 31'',91
NERZ Dominik,GER,BORA-ARGON 18,1,138,16' 27'',+ 01' 31'',91
BAKELANTS Jan,BEL,AG2R LA MONDIALE,1,139,16' 28'',+ 01' 32'',92
VAUGRENARD Benoît,FRA,FDJ,1,140,16' 28'',+ 01' 32'',92
